Date,Open,High,Low,Close,Adj Close,Volume
2022-06-07,44.500000,46.580002,44.169998,46.450001,46.450001,10441700
2022-06-08,45.419998,46.299999,44.500000,44.599998,44.599998,8219300
2022-06-09,44.310001,44.560001,42.669998,42.700001,42.700001,10364600
2022-06-10,41.680000,43.320000,40.770000,41.160000,41.160000,16474700
2022-06-13,39.840000,39.900002,36.770000,37.020000,37.020000,17493500
2022-06-14,37.480000,37.759998,36.049999,36.990002,36.990002,12608800
2022-06-15,37.529999,38.820000,37.099998,37.889999,37.889999,16355300
2022-06-16,36.430000,36.590000,34.349998,34.779999,34.779999,15128000
2022-06-17,34.869999,36.560001,33.860001,36.279999,36.279999,19451800
2022-06-21,37.349998,37.450001,35.779999,36.500000,36.500000,10584200
2022-06-22,35.849998,37.310001,35.700001,36.720001,36.720001,9030200
2022-06-23,36.500000,36.700001,34.770000,35.810001,35.810001,11778700
2022-06-24,35.529999,38.630001,35.529999,38.509998,38.509998,13245300
2022-06-27,38.820000,38.820000,37.119999,37.200001,37.200001,9770100
2022-06-28,38.139999,39.880001,36.869999,36.970001,36.970001,12406400
2022-06-29,36.250000,36.340000,35.189999,35.680000,35.680000,10245100
2022-06-30,34.459999,35.639999,33.730000,35.419998,35.419998,12620400
2022-07-01,35.509998,36.500000,34.860001,36.439999,36.439999,10923100
2022-07-05,35.150002,37.139999,34.439999,36.970001,36.970001,15445700
2022-07-06,36.560001,37.169998,35.880001,36.660000,36.660000,9664600
2022-07-07,36.599998,37.099998,35.889999,36.689999,36.689999,11752100
2022-07-08,36.720001,37.599998,36.330002,36.470001,36.470001,9955700
2022-07-11,36.209999,36.490002,35.180000,35.369999,35.369999,7558000
2022-07-12,35.529999,38.650002,35.529999,38.230000,38.230000,14459300
2022-07-13,36.889999,38.169998,36.450001,37.910000,37.910000,11847700
2022-07-14,37.330002,39.020000,37.040001,37.849998,37.849998,9181800
2022-07-15,38.380001,38.830002,37.439999,38.779999,38.779999,7702500
2022-07-18,39.790001,40.560001,39.160000,39.340000,39.340000,11729800
2022-07-19,40.220001,41.570000,40.200001,41.470001,41.470001,10518100
2022-07-20,41.500000,41.970001,40.849998,41.680000,41.680000,12822100
2022-07-21,38.820000,38.970001,37.240002,37.439999,37.439999,29856100
2022-07-22,37.799999,38.250000,36.020000,36.330002,36.330002,14579700
2022-07-25,36.029999,36.410000,35.189999,36.340000,36.340000,10186900
2022-07-26,35.759998,36.139999,35.279999,35.340000,35.340000,8151700
2022-07-27,36.180000,36.740002,35.290001,36.419998,36.419998,10580700
2022-07-28,35.860001,36.849998,35.400002,36.740002,36.740002,10248700
2022-07-29,36.490002,37.119999,36.240002,36.750000,36.750000,7801500
2022-08-01,36.689999,37.950001,36.360001,37.689999,37.689999,9471800
2022-08-02,37.220001,38.119999,36.759998,37.230000,37.230000,8624900
2022-08-03,37.669998,38.720001,37.500000,38.630001,38.630001,10166200
2022-08-04,38.619999,39.060001,37.849998,38.630001,38.630001,8985800
2022-08-05,38.009998,38.790001,37.759998,37.820000,37.820000,6889300
2022-08-08,38.009998,39.410000,38.009998,38.650002,38.650002,7352600
2022-08-09,38.209999,38.349998,37.240002,37.799999,37.799999,7627200
2022-08-10,38.840000,39.549999,38.610001,38.689999,38.689999,8655400
2022-08-11,39.459999,39.860001,38.490002,38.669998,38.669998,8371000
2022-08-12,39.099998,39.490002,38.669998,39.340000,39.340000,6797000
2022-08-15,39.419998,40.320000,39.400002,39.860001,39.860001,7341000
2022-08-16,39.790001,40.770000,39.439999,40.290001,40.290001,6924700
2022-08-17,39.560001,39.689999,38.430000,38.959999,38.959999,8557800
2022-08-18,38.959999,39.150002,38.380001,39.060001,39.060001,6725400
2022-08-19,38.240002,38.599998,37.220001,37.500000,37.500000,8143000
2022-08-22,36.500000,36.529999,35.630001,36.360001,36.360001,8481900
2022-08-23,36.570000,37.119999,36.400002,36.910000,36.910000,6775000
2022-08-24,36.950001,37.700001,36.610001,37.389999,37.389999,5387600
2022-08-25,37.630001,38.520000,37.520000,38.270000,38.270000,6296600
2022-08-26,38.259998,38.619999,36.560001,36.570000,36.570000,6130200
2022-08-29,36.009998,36.590000,35.849998,36.020000,36.020000,6334500
2022-08-30,36.490002,36.709999,35.560001,35.939999,35.939999,6660200
2022-08-31,36.259998,36.320000,34.970001,35.009998,35.009998,8595600
2022-09-01,34.669998,35.220001,33.740002,35.180000,35.180000,9399700
2022-09-02,35.680000,36.139999,34.959999,35.310001,35.310001,9489500
2022-09-06,35.820000,36.730000,35.279999,36.580002,36.580002,10468400
